,userId,movieId,rating,timestamp
0,1,296,5.0,1147880044
1,1,306,3.5,1147868817
2,1,307,5.0,1147868828
3,1,665,5.0,1147878820
4,1,899,3.5,1147868510
5,1,1088,4.0,1147868495
6,1,1175,3.5,1147868826
7,1,1217,3.5,1147878326
8,1,1237,5.0,1147868839
9,1,1250,4.0,1147868414
10,1,1260,3.5,1147877857
11,1,1653,4.0,1147868097
12,1,2011,2.5,1147868079
13,1,2012,2.5,1147868068
14,1,2068,2.5,1147869044
15,1,2161,3.5,1147868609
16,1,2351,4.5,1147877957
17,1,2573,4.0,1147878923
18,1,2632,5.0,1147878248
19,1,2692,5.0,1147869100
20,1,2843,4.5,1147868891
21,1,3448,4.0,1147868480
22,1,3569,5.0,1147879603
23,1,3949,5.0,1147868678
24,1,4144,5.0,1147868898
25,1,4308,3.0,1147868534
26,1,4325,5.0,1147878122
27,1,4422,3.0,1147869048
28,1,4703,4.0,1147869223
29,1,4973,4.5,1147869080
30,1,5147,4.0,1147877654
31,1,5269,0.5,1147879571
32,1,5684,2.0,1147879797
33,1,5767,5.0,1147878729
34,1,5878,4.0,1147868807
35,1,5912,3.0,1147878698
36,1,5952,4.0,1147868053
37,1,6016,5.0,1147869090
38,1,6370,4.5,1147869191
39,1,6377,4.0,1147868469
40,1,6539,3.5,1147868461
41,1,6711,5.0,1147868622
42,1,6954,3.5,1147869150
43,1,7209,4.0,1147877986
44,1,7234,4.5,1147868869
45,1,7318,2.0,1147879850
46,1,7323,3.5,1147869119
47,1,7327,3.5,1147868855
48,1,7361,5.0,1147880055
49,1,7365,4.0,1147869033
50,1,7820,2.5,1147878050
51,1,7937,3.0,1147878055
52,1,7938,2.5,1147878063
53,1,7939,2.5,1147869183
54,1,7940,4.5,1147877967
55,1,8014,3.5,1147869155
56,1,8154,5.0,1147868865
57,1,8327,5.0,1147879375
58,1,8360,4.0,1147868682
59,1,8405,3.5,1147878095
60,1,8685,1.0,1147878023
61,1,8729,3.5,1147878452
62,1,8786,4.0,1147877853
63,1,8873,3.0,1147869094
64,1,8973,4.0,1147869211
65,1,27193,3.0,1147879774
66,1,27266,4.5,1147879365
67,1,27721,3.0,1147869115
68,1,31956,3.5,1147877610
69,1,32591,5.0,1147879538
70,2,1,3.5,1141415820
71,2,62,0.5,1141417130
72,2,110,5.0,1141416589
73,2,150,4.0,1141415790
74,2,151,4.5,1141415643
75,2,236,4.0,1141415659
76,2,260,5.0,1141417172
77,2,261,0.5,1141417855
78,2,266,1.0,1141415926
79,2,318,5.0,1141417181
80,2,333,5.0,1141415931
81,2,349,4.5,1141417045
82,2,356,4.5,1141416637
83,2,364,4.5,1141417077
84,2,380,1.0,1141415808
85,2,457,5.0,1141416618
86,2,480,2.0,1141417088
